year,month,repo_rate_pct,reverse_repo_pct,usdinr_monthly_avg,wpi_fruits_vegetables,wpi_vegetables_total,wpi_potato,wpi_onion,wpi_tomato
1992,8,,,30.14,,,,,
1992,9,,,30.12,,,,,
1992,10,,,30.07,,,,,
1992,11,,,30.11,,,,,
1992,12,,,30.71,,,,,
1993,1,,,30.9,,,,,
1993,2,,,32.63,,,,,
1993,3,,,31.62,,,,,
1993,4,,,31.36,,,,,
1993,5,,,31.37,,,,,
1993,6,,,31.44,,,,,
1993,7,,,31.42,,,,,
1993,8,,,31.42,,,,,
1993,9,,,31.42,,,,,
1993,10,,,31.42,,,,,
1993,11,,,31.42,,,,,
1993,12,,,31.42,,,,,
1994,1,,,31.37,,,,,
1994,2,,,31.37,,,,,
1994,3,,,31.37,,,,,
1994,4,,,31.37,,,,,
1994,5,,,31.37,,,,,
1994,6,,,31.37,,,,,
1994,7,,,31.37,,,,,
1994,8,,,31.37,,,,,
1994,9,,,31.36,,,,,
1994,10,,,31.37,,,,,
1994,11,,,31.37,,,,,
1994,12,,,31.37,,,,,
1995,1,,,31.37,,,,,
1995,2,,,31.37,,,,,
1995,3,,,31.6,,,,,
1995,4,,,31.41,,,,,
1995,5,,,31.42,,,,,
1995,6,,,31.39,,,,,
1995,7,,,31.37,,,,,
1995,8,,,31.54,,,,,
1995,9,,,33.15,,,,,
1995,10,,,34.43,,,,,
1995,11,,,34.61,,,,,
1995,12,,,34.91,,,,,
1996,1,,,35.72,,,,,
1996,2,,,36.52,,,,,
1996,3,,,34.18,,,,,
1996,4,,,34.15,,,,,
1996,5,,,34.98,,,,,
1996,6,,,34.94,,,,,
1996,7,,,35.41,,,,,
1996,8,,,35.66,,,,,
1996,9,,,35.7,,,,,
1996,10,,,35.62,,,,,
1996,11,,,35.72,,,,,
1996,12,,,35.79,,,,,
1997,1,,,35.85,,,,,
1997,2,,,35.88,,,,,
1997,3,,,35.86,,,,,
1997,4,,,35.8,,,,,
1997,5,,,35.8,,,,,
1997,6,,,35.8,,,,,
1997,7,,,35.73,,,,,
1997,8,,,35.88,,,,,
1997,9,,,36.4,,,,,
1997,10,,,36.21,,,,,
1997,11,,,37.18,,,,,
1997,12,,,39.09,,,,,
1998,1,,,39.22,,,,,
1998,2,,,38.83,,,,,
1998,3,,,39.49,,,,,
1998,4,,,39.64,,,,,
1998,5,,,40.45,,,,,
1998,6,,,42.18,,,,,
1998,7,,,42.44,,,,,
1998,8,,,42.7,,,,,
1998,9,,,42.52,,,,,
1998,10,,,42.33,,,,,
1998,11,,,42.38,,,,,
1998,12,,,42.55,,,,,
1999,1,,,42.51,,,,,
1999,2,,,42.46,,,,,
1999,3,,,42.45,,,,,
1999,4,,,42.73,,,,,
1999,5,,,42.77,,,,,
1999,6,,,43.14,,,,,
1999,7,,,43.29,,,,,
1999,8,,,43.46,,,,,
1999,9,,,43.53,,,,,
1999,10,,,43.45,,,,,
1999,11,,,43.4,,,,,
1999,12,,,43.48,,,,,
2000,1,,,43.55,,,,,
2000,2,,,43.61,,,,,
2000,3,,,43.59,,,,,
2000,4,,,43.64,,,,,
2000,5,,,43.99,,,,,
2000,6,,,44.69,,,,,
2000,7,,,44.78,,,,,
2000,8,,,45.69,,,,,
2000,9,,,45.89,,,,,
2000,10,,,46.35,,,,,
2000,11,,,46.78,,,,,
2000,12,,,46.75,,,,,
2001,1,,,46.55,,,,,
2001,2,,,46.52,,,,,
2001,3,,,46.62,,,,,
2001,4,,,46.79,,,,,
2001,5,,,46.92,,,,,
2001,6,,,47.0,,,,,
2001,7,,,47.14,,,,,
2001,8,,,47.13,,,,,
2001,9,,,47.65,,,,,
2001,10,,,48.02,,,,,
2001,11,,,48.0,,,,,
2001,12,,,47.92,,,,,
2002,1,,,48.32,,,,,
2002,2,,,48.69,,,,,
2002,3,,,48.74,,,,,
2002,4,,,48.92,,,,,
2002,5,,,49.0,,,,,
2002,6,,,48.97,,,,,
2002,7,,,48.76,,,,,
2002,8,,,48.59,,,,,
2002,9,,,48.44,,,,,
2002,10,,,48.37,,,,,
2002,11,,,48.26,,,,,
2002,12,,,48.14,,,,,
