date,repo_rate_pct,reverse_repo_rate_pct,sdf_rate_pct,msf_rate_pct,crr_pct,slr_pct,bank_rate_pct,year,month
2017-01-31,6.25,5.75,,6.75,4.0,20.5,6.75,2017,1
2017-02-28,6.25,5.75,,6.75,4.0,20.5,6.75,2017,2
2017-03-31,6.25,5.75,,6.75,4.0,20.5,6.75,2017,3
2017-04-30,6.25,6.0,,6.5,4.0,20.5,6.5,2017,4
2017-05-31,6.25,6.0,,6.5,4.0,20.5,6.5,2017,5
2017-06-30,6.25,6.0,,6.5,4.0,20.0,6.5,2017,6
2017-07-31,6.25,6.0,,6.5,4.0,20.0,6.5,2017,7
2017-08-31,6.0,5.75,,6.25,4.0,20.0,6.25,2017,8
2017-09-30,6.0,5.75,,6.25,4.0,20.0,6.25,2017,9
2017-10-31,6.0,5.75,,6.25,4.0,19.5,6.25,2017,10
2017-11-30,6.0,5.75,,6.25,4.0,19.5,6.25,2017,11
2017-12-31,6.0,5.75,,6.25,4.0,19.5,6.25,2017,12
2018-01-31,6.0,5.75,,6.25,4.0,19.5,6.25,2018,1
2018-02-28,6.0,5.75,,6.25,4.0,19.5,6.25,2018,2
2018-03-31,6.0,5.75,,6.25,4.0,19.5,6.25,2018,3
2018-04-30,6.0,5.75,,6.25,4.0,19.5,6.25,2018,4
2018-05-31,6.0,5.75,,6.25,4.0,19.5,6.25,2018,5
2018-06-30,6.25,6.0,,6.5,4.0,19.5,6.5,2018,6
2018-07-31,6.25,6.0,,6.5,4.0,19.5,6.5,2018,7
2018-08-31,6.5,6.25,,6.75,4.0,19.5,6.75,2018,8
2018-09-30,6.5,6.25,,6.75,4.0,19.5,6.75,2018,9
2018-10-31,6.5,6.25,,6.75,4.0,19.5,6.75,2018,10
2018-11-30,6.5,6.25,,6.75,4.0,19.5,6.75,2018,11
2018-12-31,6.5,6.25,,6.75,4.0,19.5,6.75,2018,12
2019-01-31,6.5,6.25,,6.75,4.0,19.25,6.75,2019,1
2019-02-28,6.25,6.0,,6.5,4.0,19.25,6.5,2019,2
2019-03-31,6.25,6.0,,6.5,4.0,19.25,6.5,2019,3
2019-04-30,6.0,5.75,,6.25,4.0,19.0,6.25,2019,4
