date,year,month,usdinr_avg,usdinr_high,usdinr_low,usdinr_end,eurinr_avg
2017-01-31,2017,1,68.08,67.79,68.23,67.81,72.33
2017-02-28,2017,2,67.08,66.72,67.65,66.74,71.46
2017-03-31,2017,3,65.92,64.84,66.85,64.84,70.34
2017-04-30,2017,4,64.51,64.0,65.04,64.22,69.17
2017-05-31,2017,5,64.42,64.02,64.99,64.55,71.23
2017-06-30,2017,6,64.44999999999999,64.13,64.89,64.74,71.715
2017-07-31,2017,7,64.46,64.08,64.82,64.08,74.2
2017-08-31,2017,8,63.97,63.63,64.24,64.02,75.6
2017-09-30,2017,9,64.44,63.87,65.76,65.36,76.79
2017-10-31,2017,10,65.08,64.76,65.55,64.77,76.48
2017-11-30,2017,11,64.86,64.41,65.52,64.43,76.12
2017-12-31,2017,12,64.24,63.93,64.54,63.93,76.0
2018-01-31,2018,1,63.64,63.35,63.98,63.69,77.45
2018-02-28,2018,2,64.37,63.61,65.1,65.1,79.56
2018-03-31,2018,3,65.02,64.8,65.23,65.04,80.25
2018-04-30,2018,4,65.64,64.93,66.83,66.78,80.66
2018-05-31,2018,5,67.54,66.61,68.39,67.45,79.82
2018-06-30,2018,6,67.415,65.975,68.94,68.58,79.50999999999999
2018-07-31,2018,7,68.69,68.3,69.05,68.61,80.3
2018-08-31,2018,8,69.55,68.36,70.93,70.93,80.44
2018-09-30,2018,9,72.22,70.77,72.81,72.55,84.22
2018-10-31,2018,10,73.63,72.8,74.39,73.99,84.61
2018-11-30,2018,11,71.85,69.66,73.83,69.66,81.62
2018-12-31,2018,12,70.73,69.79,72.04,69.79,80.48
2019-01-31,2019,1,70.73,69.48,71.38,71.03,80.83
2019-02-28,2019,2,71.22,70.55,71.75,71.2,80.85
2019-03-31,2019,3,69.48,68.58,70.97,69.17,78.51
2019-04-30,2019,4,69.43,68.49,70.14,69.84,78.03
2019-05-31,2019,5,69.77,69.27,70.42,69.81,78.05
2019-06-30,2019,6,69.5,68.705,70.13,68.92,78.285
2019-07-31,2019,7,68.81,68.37,69.06,68.86,77.23
2019-08-31,2019,8,71.15,69.06,72.18,71.76,79.12
2019-09-30,2019,9,71.33,70.69,72.19,70.69,78.54
2019-10-31,2019,10,71.04,70.73,71.51,70.81,78.5
2019-11-30,2019,11,71.45,70.68,72.05,71.73,79.0
2019-12-31,2019,12,71.19,70.72,71.78,71.27,79.1
2020-01-31,2020,1,71.31,70.81,72.09,71.51,79.22
2020-02-29,2020,2,71.49,71.14,72.19,72.19,78.07
2020-03-31,2020,3,74.35,72.24,76.15,75.39,82.34
2020-04-30,2020,4,76.24,75.11,76.81,75.11,82.75
2020-05-31,2020,5,75.66,75.39,75.93,75.64,82.48
2020-06-30,2020,6,75.795,75.22,76.50999999999999,75.53,84.44
2020-07-31,2020,7,74.99,74.68,75.58,74.77,85.93
2020-08-31,2020,8,74.67,73.35,75.09,73.6,88.34
2020-09-30,2020,9,73.48,72.82,73.92,73.8,86.66
2020-10-31,2020,10,73.46,73.14,73.97,73.97,86.51
2020-11-30,2020,11,74.22,73.8,74.69,73.8,87.72
2020-12-31,2020,12,73.59,73.05,73.89,73.05,89.55
2021-01-31,2021,1,73.11,72.82,73.45,72.95,89.05
2021-02-28,2021,2,72.76,72.29,73.04,73.04,88.03
2021-03-31,2021,3,72.79,72.29,73.5,73.5,86.72
2021-04-30,2021,4,74.47,73.31,75.17,74.02,89.2
2021-05-31,2021,5,73.27,72.48,74.18,72.52,88.92
2021-06-30,2021,6,73.64500000000001,72.625,74.77000000000001,74.35,88.785
2021-07-31,2021,7,74.53,74.28,74.86,74.39,88.13
2021-08-31,2021,8,74.18,73.15,74.43,73.15,87.35
2021-09-30,2021,9,73.56,72.96,74.26,74.26,86.6
2021-10-31,2021,10,74.94,74.24,75.46,74.79,86.9
2021-11-30,2021,11,74.51,73.92,75.09,75.09,84.95
2021-12-31,2021,12,75.37,74.3,76.25,74.3,85.19
2022-01-31,2022,1,74.44,73.93,75.17,74.97,84.3
2022-02-28,2022,2,74.99,74.48,75.66,75.49,84.97
2022-03-31,2022,3,76.24,75.71,76.92,75.81,83.93
2022-04-30,2022,4,76.15,75.39,76.74,76.42,82.29
2022-05-31,2022,5,77.32,76.09,77.7,77.66,81.81
2022-06-30,2022,6,77.65,76.475,78.94,78.94,82.355
2022-07-31,2022,7,79.6,78.99,79.98,79.42,81.15
2022-08-31,2022,8,79.55,78.61,80.09,79.72,80.41
2022-09-30,2022,9,80.23,79.06,81.9,81.55,79.46
2022-10-31,2022,10,82.39,81.43,83.2,82.39,80.88
2022-11-30,2022,11,81.81,80.65,82.88,81.6,83.46
2022-12-31,2022,12,82.46,81.15,82.92,82.79,87.29
2023-01-31,2023,1,81.9,81.22,82.91,81.74,88.21
2023-02-28,2023,2,82.61,81.85,82.91,82.68,88.51
2023-03-31,2023,3,82.31,81.74,82.68,82.22,88.04
2023-04-30,2023,4,82.02,81.65,82.39,81.78,89.86
2023-05-31,2023,5,82.32,81.74,82.8,82.68,89.48
2023-06-30,2023,6,82.215,81.765,82.72,82.04,89.25
2023-07-31,2023,7,82.15,81.81,82.68,82.25,90.84
2023-08-31,2023,8,82.79,82.28,83.13,82.68,90.37
2023-09-30,2023,9,83.05,82.66,83.26,83.06,88.74
2023-10-31,2023,10,83.23,83.15,83.27,83.27,87.84
2023-11-30,2023,11,83.3,83.13,83.39,83.35,89.99
2023-12-31,2023,12,83.28,83.02,83.4,83.12,90.84
2024-01-31,2024,1,83.12,82.85,83.33,83.08,90.77
2024-02-29,2024,2,82.97,82.84,83.09,82.92,89.56
2024-03-31,2024,3,82.99,82.68,83.37,83.37,90.27
2024-04-30,2024,4,83.4,83.23,83.52,83.52,89.44
2024-05-31,2024,5,83.39,83.08,83.52,83.3,90.1
2024-06-30,2024,6,83.445,83.07,83.59,83.45,89.85499999999999
2024-07-31,2024,7,83.59,83.4,83.74,83.74,90.59
2024-08-31,2024,8,83.9,83.73,83.97,83.87,92.41
2024-09-30,2024,9,83.79,83.49,83.98,83.79,93.07
2024-10-31,2024,10,84.03,83.81,84.09,84.09,91.57
2024-11-30,2024,11,84.36,84.11,84.5,84.5,89.63
2024-12-31,2024,12,84.99,84.66,85.62,85.62,89.03
2025-01-31,2025,1,86.27,85.71,86.64,86.64,89.3
2025-02-28,2025,2,87.05,86.65,87.59,87.4,90.58
2025-03-31,2025,3,86.64,85.58,87.38,85.58,93.51
2025-04-30,2025,4,85.56,85.05,86.62,85.05,96.23
2025-05-31,2025,5,85.19,83.86,85.69,85.48,96.15
2025-06-30,2025,6,85.73,84.65,86.81,85.54,98.03999999999999
2025-07-31,2025,7,86.11,85.39,87.55,87.55,100.64
2025-08-31,2025,8,87.52,86.97,87.85,87.85,101.8
2025-09-30,2025,9,88.32,87.75,88.79,88.79,103.64
2025-10-31,2025,10,88.42,87.71,88.79,88.72,102.95
2025-11-30,2025,11,88.83,88.46,89.46,89.46,102.71
2025-12-31,2025,12,90.09,89.55,91.02,89.92,105.46
