date,year,month,wpi_fruits_veg_total,wpi_vegetables_total,wpi_potato,wpi_onion,wpi_tomato,wpi_fruits_total
2017-01-31,2017,1,129.55,124.55000000000001,147.2,118.1,112.9,135.3
2017-02-28,2017,2,130.1,123.95,140.05,116.25,121.1,137.4
2017-03-31,2017,3,133.35,128.2,133.35,114.0,128.85,139.4
2017-04-30,2017,4,130.8,124.0,99.5,107.9,118.8,138.7
2017-05-31,2017,5,129.55,123.65,106.65,103.69999999999999,103.65,136.45
2017-06-30,2017,6,134.85000000000002,131.6,109.75,109.55,134.75,138.75
2017-07-31,2017,7,160.15,174.0,123.0,113.5,331.05,144.0
2017-08-31,2017,8,172.25,189.9,124.55,176.2,330.15,151.6
2017-09-30,2017,9,158.75,164.4,120.15,168.05,230.85000000000002,152.15
2017-10-31,2017,10,167.5,183.9,118.9,196.75,252.65,148.35000000000002
2017-11-30,2017,11,176.05,202.1,119.0,256.9,344.9,145.64999999999998
2017-12-31,2017,12,162.05,176.60000000000002,118.0,280.9,243.45,145.05
2018-01-31,2018,1,153.60000000000002,161.15,114.5,279.9,183.95,144.8
2018-02-28,2018,2,146.05,146.5,112.44999999999999,233.85,164.9,145.65
2018-03-31,2018,3,144.10000000000002,139.6,124.2,184.65,157.6,149.35
2018-04-30,2018,4,142.9,123.5,170.8,122.6,111.2,165.6
2018-05-31,2018,5,141.55,126.80000000000001,196.85,117.5,106.25,158.85
2018-06-30,2018,6,144.60000000000002,139.9,212.45,129.95,134.1,150.14999999999998
2018-07-31,2018,7,151.3,158.8,220.3,152.35,190.55,142.5
2018-08-31,2018,8,152.10000000000002,162.39999999999998,218.9,152.25,173.75,139.95
2018-09-30,2018,9,151.65,155.75,216.6,145.05,147.25,146.9
2018-10-31,2018,10,154.15,158.39999999999998,224.3,153.75,146.7,149.25
2018-11-30,2018,11,153.39999999999998,161.45,221.35,162.4,147.75,143.89999999999998
2018-12-31,2018,12,145.2,148.6,189.3,139.15,144.89999999999998,141.2
2019-01-31,2019,1,144.75,148.05,173.0,131.64999999999998,159.65,140.89999999999998
2019-02-28,2019,2,141.95,141.85000000000002,164.65,123.0,141.75,142.15
2019-03-31,2019,3,144.55,146.55,163.2,123.0,156.45,142.25
2019-04-30,2019,4,158.5,162.2,143.1,118.6,208.8,154.2
2019-05-31,2019,5,162.39999999999998,171.6,154.2,130.3,267.6,151.75
2019-06-30,2019,6,164.9,178.5,163.55,147.35000000000002,295.25,149.10000000000002
2019-07-31,2019,7,170.8,185.5,169.0,165.0,305.8,153.65
2019-08-31,2019,8,174.5,190.0,170.14999999999998,189.55,293.70000000000005,156.35000000000002
2019-09-30,2019,9,172.6,187.35,168.0,259.2,247.1,155.35
