market_id,market,crop,state,district,lat,lon,geocode_level,zone_id,zone_market,zone_state,dist_km
2.0,Mahboob Manison APMC,tomato,Telangana,Hyderabad,17.360589,78.4740613,district,T2_Madanapalle,Madanapalle APMC,Andhra Pradesh,423.7
3.0,Karimnagar APMC,tomato,Telangana,Karimnagar,18.4348122,79.1328042,district,T2_Madanapalle,Madanapalle APMC,Andhra Pradesh,547.3
5.0,Khammam APMC,tomato,Telangana,Khammam,17.2465351,80.1500326,district,T2_Madanapalle,Madanapalle APMC,Andhra Pradesh,447.3
9.0,Shadnagar APMC,tomato,Telangana,Mahbubnagar,16.7434538,77.9923191,district,T2_Madanapalle,Madanapalle APMC,Andhra Pradesh,359.2
19.0,Warangal APMC,tomato,Telangana,Warangal,17.9820644,79.5970954,district,T2_Madanapalle,Madanapalle APMC,Andhra Pradesh,506.5
20.0,Naharlagun APMC,tomato,Arunachal Pradesh,Papum Pore,28.218,94.7278,state,T4_Solan,Solan APMC,Himachal Pradesh,1727.4
21.0,Kharupetia APMC,tomato,Assam,Darrang,26.4373481,92.0047145,district,T4_Solan,Solan APMC,Himachal Pradesh,1533.5
22.0,Gauripur Jute/Pineapple Market,tomato,Assam,Dhubri,26.132275,90.1249962,district,T4_Solan,Solan APMC,Himachal Pradesh,1376.1
24.0,Begusarai APMC,tomato,Bihar,Begusarai,25.5125411,86.0883392,district,T4_Solan,Solan APMC,Himachal Pradesh,1063.4
25.0,Bhagalpur APMC,tomato,Bihar,Bhagalpur,25.2861354,87.1304229,district,T4_Solan,Solan APMC,Himachal Pradesh,1163.3
26.0,Chhapra APMC,tomato,Bihar,Chhapra,25.7733443,84.7849772,district,T4_Solan,Solan APMC,Himachal Pradesh,942.3
27.0,Darbhanga APMC,tomato,Bihar,Darbhanga,26.0829899,86.0324951,district,T4_Solan,Solan APMC,Himachal Pradesh,1022.5
32.0,Gaya APMC,tomato,Bihar,Gaya,24.7964355,85.0079563,district,T4_Solan,Solan APMC,Himachal Pradesh,1030.5
33.0,Hazaribagh APMC,tomato,Jharkhand,Hazaribagh,24.0866962,85.4912231,district,T4_Solan,Solan APMC,Himachal Pradesh,1120.4
