variant,crop,horizon_weeks,n_total,n_ties,n_scored,n_correct,directional_accuracy_pct,p_value_vs_50pct,significant_at_05
M0,onion,1,103279,0,103279,58424,56.6,0.0,True
M6,onion,1,103279,0,103279,56472,54.7,5.947717796378888e-199,True
M0,onion,4,98264,0,98264,67977,69.2,0.0,True
M6,onion,4,98264,0,98264,67518,68.7,0.0,True
M0,onion,13,84461,0,84461,59228,70.1,0.0,True
M6,onion,13,84461,0,84461,60533,71.7,0.0,True
M0,onion,26,68513,0,68513,40700,59.4,0.0,True
M6,onion,26,68513,0,68513,43428,63.4,0.0,True
M0,potato,1,19230,0,19230,10556,54.9,5.622940056148446e-42,True
M6,potato,1,19230,0,19230,10999,57.2,6.988217673165712e-89,True
M0,potato,4,18884,0,18884,12975,68.7,0.0,True
M6,potato,4,18884,0,18884,13220,70.0,0.0,True
M0,potato,13,17958,0,17958,12743,71.0,0.0,True
M6,potato,13,17958,0,17958,10641,59.3,1.6252687270103862e-136,True
M0,potato,26,16935,0,16935,13132,77.5,0.0,True
M6,potato,26,16935,0,16935,11018,65.1,0.0,True
M0,tomato,1,153035,0,153035,91798,60.0,0.0,True
M6,tomato,1,153035,0,153035,89183,58.3,0.0,True
M0,tomato,4,147701,0,147701,114136,77.3,0.0,True
M6,tomato,4,147701,0,147701,109797,74.3,0.0,True
M0,tomato,13,134030,0,134030,110621,82.5,0.0,True
M6,tomato,13,134030,0,134030,112278,83.8,0.0,True
M0,tomato,26,120324,0,120324,82545,68.6,0.0,True
M6,tomato,26,120324,0,120324,84615,70.3,0.0,True
