dow,factor_mean,factor_std,n_obs,crop
0,1.004262323422867,0.14134963975094578,261636,tomato
1,1.002978861603775,0.12396574331005311,265760,tomato
2,1.0012480442728575,0.11289878154190285,265272,tomato
3,0.9977903952309156,0.11100593816720865,261451,tomato
4,0.9955768332829946,0.11596200695265246,259084,tomato
5,0.9973967515808327,0.13053007712199552,239475,tomato
6,1.000656843883745,0.14600167455817706,166215,tomato
0,1.0011798326818295,0.15896406742273209,162705,onion
1,1.0012448357266592,0.14951705407445845,164770,onion
2,1.0004240535432545,0.14675577374986423,165116,onion
3,0.9993771231366526,0.14763389312337208,165750,onion
4,0.9987233044898183,0.14481531384025856,158049,onion
5,0.9988947844251455,0.1508052888235198,143045,onion
6,0.9999549897183421,0.126548424607832,88345,onion
0,1.001531458622835,0.08082464648123842,100339,potato
1,1.0005430910806319,0.07444881477456437,101731,potato
2,1.0000984894877667,0.07121476665850934,101196,potato
3,0.9994736505686359,0.07075600325178874,99870,potato
4,0.9990914273874164,0.07257149046448487,99906,potato
5,0.9992844978294858,0.07534055479874115,90594,potato
6,0.999844343603023,0.0772242242654394,68885,potato
