crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,2,Telangana,1,13.9,83,14.3,15.1,502,15.0,14.6
onion,2,Telangana,4,25.1,80,24.9,25.5,459,24.6,20.9
onion,2,Telangana,13,60.4,71,53.7,48.9,357,44.6,29.5
onion,2,Telangana,26,98.8,58,80.8,70.9,273,60.8,33.1
onion,11,Telangana,1,16.4,83,15.8,15.1,502,15.0,14.6
onion,11,Telangana,4,26.2,80,25.6,25.5,459,24.6,20.9
onion,11,Telangana,13,55.1,71,50.6,48.9,357,44.6,29.5
onion,11,Telangana,26,76.2,58,68.9,70.9,273,60.8,33.1
onion,43,Chandigarh,1,17.4,238,17.2,17.4,238,16.6,14.6
onion,43,Chandigarh,4,24.9,235,24.7,24.9,235,23.7,20.9
onion,43,Chandigarh,13,39.7,226,39.1,39.7,226,36.6,29.5
onion,43,Chandigarh,26,44.0,213,43.3,44.0,213,40.5,33.1
onion,54,Gujarat,1,14.0,121,15.3,18.4,3858,18.3,14.6
onion,54,Gujarat,4,20.2,115,22.2,26.6,3794,26.4,20.9
onion,54,Gujarat,13,30.8,106,33.2,38.4,3631,38.2,29.5
onion,54,Gujarat,26,40.6,93,40.5,40.4,3418,40.2,33.1
onion,55,Gujarat,1,17.1,240,17.3,18.4,3858,18.3,14.6
onion,55,Gujarat,4,23.5,237,24.1,26.6,3794,26.4,20.9
onion,55,Gujarat,13,37.7,228,37.7,38.4,3631,38.2,29.5
onion,55,Gujarat,26,36.5,215,37.2,40.4,3418,40.2,33.1
onion,61,Gujarat,1,18.6,225,18.5,18.4,3858,18.3,14.6
onion,61,Gujarat,4,28.3,219,28.0,26.6,3794,26.4,20.9
onion,61,Gujarat,13,45.2,211,43.8,38.4,3631,38.2,29.5
onion,61,Gujarat,26,47.8,202,46.2,40.4,3418,40.2,33.1
onion,62,Gujarat,1,19.0,240,18.8,18.4,3858,18.3,14.6
onion,62,Gujarat,4,29.0,237,28.5,26.6,3794,26.4,20.9
onion,62,Gujarat,13,41.7,228,41.1,38.4,3631,38.2,29.5
onion,62,Gujarat,26,42.3,215,41.9,40.4,3418,40.2,33.1
onion,64,Gujarat,1,16.2,240,16.6,18.4,3858,18.3,14.6
onion,64,Gujarat,4,24.2,237,24.6,26.6,3794,26.4,20.9
onion,64,Gujarat,13,37.2,228,37.4,38.4,3631,38.2,29.5
onion,64,Gujarat,26,37.6,215,38.1,40.4,3418,40.2,33.1
onion,69,Himachal Pradesh,1,13.0,240,13.1,13.3,4602,13.3,14.6
onion,69,Himachal Pradesh,4,19.5,237,19.6,19.8,4521,19.8,20.9
onion,69,Himachal Pradesh,13,28.8,228,29.1,30.3,4292,30.3,29.5
onion,69,Himachal Pradesh,26,31.3,215,31.4,31.8,4004,31.8,33.1
onion,70,Himachal Pradesh,1,12.6,240,12.8,13.3,4602,13.3,14.6
onion,70,Himachal Pradesh,4,18.2,237,18.5,19.8,4521,19.8,20.9
onion,70,Himachal Pradesh,13,28.8,228,29.1,30.3,4292,30.3,29.5
onion,70,Himachal Pradesh,26,31.8,215,31.8,31.8,4004,31.8,33.1
onion,71,Himachal Pradesh,1,13.6,240,13.6,13.3,4602,13.3,14.6
onion,71,Himachal Pradesh,4,19.6,237,19.7,19.8,4521,19.8,20.9
