layer,mean_abs_shap,pct_of_total,crop,horizon_weeks
Arrivals,0.006099577621069441,0.892788936484423,tomato,1
Climate,0.048647980021862984,7.120555068568748,tomato,1
Infrastructure,0.029073275876603362,4.255425647889373,tomato,1
Macro,0.0739246413049645,10.820274122371126,tomato,1
Policy,0.0,0.0,tomato,1
Price,0.49668685539870977,72.69954691050536,tomato,1
Satellite,0.02877255413479231,4.211409314180981,tomato,1
Arrivals,0.01652638433897753,1.7107659294273365,tomato,4
Climate,0.09933660447504822,10.283052541632085,tomato,4
Infrastructure,0.08864394825452174,9.17617812905941,tomato,4
Macro,0.14934659434641165,15.45994937811386,tomato,4
Policy,0.00028298773677600637,0.02929411349706607,tomato,4
Price,0.5356555078476918,55.44958739551036,tomato,4
Satellite,0.07623050447041549,7.891172512759893,tomato,4
Arrivals,0.016549727230161352,1.5556893817764779,tomato,13
Climate,0.05996516528272372,5.636779966789535,tomato,13
Infrastructure,0.18430751382203125,17.325073594687883,tomato,13
Macro,0.2141541940723724,20.130688629968482,tomato,13
Policy,0.0004612538342754171,0.04335827910070984,tomato,13
Price,0.5159567954050917,48.500407100624706,tomato,13
Satellite,0.07242486497025544,6.808003047052219,tomato,13
Arrivals,0.011856336281912589,1.1344325997101217,tomato,26
Climate,0.1841627795213224,17.620979683322044,tomato,26
Infrastructure,0.13747058053165873,13.153397841296064,tomato,26
Macro,0.28305846068938767,27.08347146999172,tomato,26
Policy,0.001458672081355334,0.13956800161791375,tomato,26
Price,0.3491283501110679,33.405140713933434,tomato,26
Satellite,0.07799842192823822,7.463009690128709,tomato,26
Arrivals,0.004273902524300956,0.7429099007154154,onion,1
Climate,0.03510933591270856,6.1028704114773085,onion,1
Infrastructure,0.02088691455193241,3.630662030263655,onion,1
Macro,0.054204310939184874,9.422049059194153,onion,1
Policy,0.0,0.0,onion,1
Price,0.4421554528302446,76.85754686616849,onion,1
Satellite,0.01866225799730599,3.2439617321809955,onion,1
Arrivals,0.002381323442312915,0.45675714114766297,onion,4
Climate,0.04936892056995543,9.46935918926539,onion,4
Infrastructure,0.03570072686938446,6.847688832187988,onion,4
Macro,0.06816695086815064,13.074973792324652,onion,4
Policy,0.0,0.0,onion,4
Price,0.33460506800701195,64.17996461999272,onion,4
Satellite,0.031131407971816398,5.971256425081599,onion,4
Arrivals,0.004887459887479017,0.9855516586068894,onion,13
Climate,0.09614035393973216,19.38661134121957,onion,13
Infrastructure,0.15188796768464796,30.62806486811849,onion,13
Macro,0.0981174652743969,19.78529396982205,onion,13
Policy,0.0,0.0,onion,13
Price,0.1052909613436543,21.231822659945646,onion,13
Satellite,0.0395868732219902,7.982655502287352,onion,13
Arrivals,0.008810431681946108,1.2640450983611393,onion,26
Climate,0.04284630233862722,6.147219615245686,onion,26
Infrastructure,0.25170018557782653,36.1117817289474,onion,26
Macro,0.1463646043176025,20.999136857317588,onion,26
Policy,0.0,0.0,onion,26
Price,0.18645985585517508,26.751659321963782,onion,26
Satellite,0.06082157474120614,8.726157378164388,onion,26
Arrivals,0.003417036654588562,0.6909384728679012,potato,1
Climate,0.03240641695873592,6.552707069888158,potato,1
Infrastructure,0.01303651199922014,2.636034846207934,potato,1
Macro,0.031192456932132063,6.307239499097543,potato,1
Policy,0.0,0.0,potato,1
Price,0.389587961750989,78.7762434384416,potato,1
Satellite,0.024909678954591005,5.036836673496894,potato,1
Arrivals,0.0031200058931358248,0.5279723584249838,potato,4
Climate,0.059626457956451676,10.090084028705213,potato,4
Infrastructure,0.03460096266135735,5.8552299212905226,potato,4
Macro,0.06109450054337779,10.338508529630973,potato,4
Policy,0.0,0.0,potato,4
Price,0.3824454250960567,64.71802296945862,potato,4
Satellite,0.05005379151919535,8.47018219248971,potato,4
Arrivals,0.00012274824747599342,0.28781577901054267,potato,13
Climate,0.0014826920193971205,3.4765641658465007,potato,13
Infrastructure,0.013215464329363593,30.987156551344796,potato,13
Macro,0.008877382056995054,20.81537361914639,potato,13
Policy,0.0,0.0,potato,13
Price,0.017026244682058583,39.9225404643696,potato,13
Satellite,0.0019236681129744953,4.5105494202821745,potato,13
Arrivals,0.0003137949668987934,0.38798569158831925,potato,26
Climate,0.010122289758598073,12.515508554073419,potato,26
Infrastructure,0.003660139495522184,4.525508383752719,potato,26
Macro,0.036746593593832574,45.43461187386194,potato,26
Policy,0.0,0.0,potato,26
Price,0.02484947228397772,30.72464732301906,potato,26
Satellite,0.005185683935262746,6.4117381737045624,potato,26
