feature,mean_abs_shap,layer,pct_of_total,crop,horizon_weeks,rank
price_lag_1,0.3724470156274537,Price,54.51468866143086,tomato,1,1
price_lag_2,0.03750469028111389,Price,5.489523148880369,tomato,1,2
wpi_tomato,0.03331030805659418,Macro,4.875595713560418,tomato,1,3
cos_week,0.028339709658191332,Price,4.14805431094389,tomato,1,4
era5_tmin,0.012747405573632093,Climate,1.865824713125499,tomato,1,5
price_lag_52,0.011919915174774497,Price,1.744705789973306,tomato,1,6
price_roll_mean_4,0.011261979826602342,Price,1.6484044661339126,tomato,1,7
cold_storage_capacity_mt,0.00983031758399691,Infrastructure,1.4388535282844641,tomato,1,8
era5_heat_35_roll8,0.009645397025343281,Climate,1.411786895289386,tomato,1,9
road_density_per_100_sqkm,0.008652787860360497,Infrastructure,1.2664997072571276,tomato,1,10
sin2_week,0.0067730550229475415,Price,0.9913651348251239,tomato,1,11
price_yoy,0.00572742904162762,Price,0.8383179296221809,tomato,1,12
price_lag_13,0.005297454421916786,Price,0.7753829844022159,tomato,1,13
era5_heat_35_roll4,0.0052897250733813204,Climate,0.7742516475642586,tomato,1,14
wpi_onion,0.005150052290632131,Macro,0.753807885239515,tomato,1,15
price_lag_1,0.25654737404750527,Price,26.557079746075704,tomato,4,1
cos_week,0.07244435323223258,Price,7.499240532413419,tomato,4,2
era5_tmin,0.04179347357637259,Climate,4.326345630135783,tomato,4,3
price_lag_52,0.04090519928235676,Price,4.234393914199687,tomato,4,4
wpi_tomato,0.02604705595692107,Macro,2.6963197139190345,tomato,4,5
road_density_per_100_sqkm,0.025417495924940317,Infrastructure,2.6311493880237524,tomato,4,6
price_lag_13,0.025010234959274086,Price,2.5889908510953674,tomato,4,7
cold_storage_capacity_mt,0.02470490936042724,Infrastructure,2.5573843834509455,tomato,4,8
wpi_onion,0.021987426571253185,Macro,2.276078026647932,tomato,4,9
price_lag_2,0.0211554720120992,Price,2.1899563750247415,tomato,4,10
era5_heat_35_roll8,0.01997551384072231,Climate,2.0678103449956557,tomato,4,11
price_yoy,0.01611098948548085,Price,1.6677653947643776,tomato,4,12
wage_agri_men,0.015407717724942349,Infrastructure,1.5949646331228822,tomato,4,13
state_enc,0.015142133032921556,Price,1.5674720350344407,tomato,4,14
repo_rate_pct,0.015091418053464025,Macro,1.562222159611725,tomato,4,15
cos_week,0.2325809633301839,Price,21.862821666129893,tomato,13,1
cold_storage_capacity_mt,0.08998473969339771,Infrastructure,8.458647210076968,tomato,13,2
road_density_per_100_sqkm,0.0498260823386618,Infrastructure,4.683696966830366,tomato,13,3
price_roll_mean_13,0.046025817484511976,Price,4.32646862105046,tomato,13,4
price_lag_26,0.04084331475572086,Price,3.8393086604008038,tomato,13,5
lpg_nonsub_4city_rs_cyl,0.03492659575654538,Macro,3.2831317038889525,tomato,13,6
usdinr_monthly_avg,0.0275690915695993,Macro,2.5915196319299634,tomato,13,7
price_lag_52,0.02566839998677562,Price,2.412852897892082,tomato,13,8
era5_tmin,0.02383384016348027,Climate,2.240402609277477,tomato,13,9
state_enc,0.02262425833136311,Price,2.1267008191244043,tomato,13,10
wpi_onion,0.022218017672639073,Macro,2.08851382846083,tomato,13,11
price_lag_1,0.020529308449055202,Price,1.9297736286072877,tomato,13,12
lpg_nonsub_delhi_per14kg,0.01962258083969084,Macro,1.844540410292912,tomato,13,13
cold_storage_n_facilities,0.019252711734846845,Infrastructure,1.8097723787084206,tomato,13,14
price_roll_mean_8,0.019237988723602086,Price,1.8083884022873769,tomato,13,15
chirps_rain_mm_roll8,0.1411193696654545,Climate,13.502519631065192,tomato,26,1
price_lag_26,0.13105528930250754,Price,12.539572850680202,tomato,26,2
road_density_per_100_sqkm,0.0561980600180289,Infrastructure,5.377117332794963,tomato,26,3
lpg_nonsub_4city_rs_cyl,0.04945553486793517,Macro,4.7319820943233175,tomato,26,4
import_veg_usd_mn,0.04484576781559311,Macro,4.290912450471846,tomato,26,5
week_num,0.0434154724096868,Price,4.154059573065606,tomato,26,6
cold_storage_capacity_mt,0.04088803087052779,Infrastructure,3.912230056112921,tomato,26,7
wpi_potato,0.03462464390103022,Macro,3.3129395000886928,tomato,26,8
price_roll_mean_13,0.025765701119258858,Price,2.465302148072989,tomato,26,9
modis_ndvi,0.02503852935322508,Satellite,2.3957252284105492,tomato,26,10
export_veg_usd_mn,0.025038177055836996,Macro,2.395691520051379,tomato,26,11
price_lag_13,0.02411810139294683,Price,2.307657257074643,tomato,26,12
lpg_nonsub_delhi_per14kg,0.022950134472042003,Macro,2.195904374990925,tomato,26,13
sin_week,0.019537956677514928,Price,1.869421924250748,tomato,26,14
wpi_fruits_vegetables,0.019036382710099026,Macro,1.821430551007516,tomato,26,15
price_lag_1,0.2694041144945773,Price,46.829094209214894,onion,1,1
price_roll_mean_4,0.10409529598348653,Price,18.09433546140187,onion,1,2
price_lag_2,0.024122412447487154,Price,4.193071539297711,onion,1,3
wpi_onion,0.020327596636060492,Macro,3.533438751308148,onion,1,4
week_num,0.011068571978806563,Price,1.9239914020223394,onion,1,5
cold_storage_capacity_mt,0.010839575943979239,Infrastructure,1.88418623086308,onion,1,6
sin_week,0.00912947825318735,Price,1.5869289821410446,onion,1,7
wpi_tomato,0.006938163431425844,Macro,1.2060243013686802,onion,1,8
chirps_rain_mm_roll8,0.006890847925842248,Climate,1.197799696957245,onion,1,9
chirps_rain_mm_roll4,0.006690756220604393,Climate,1.1630188127356178,onion,1,10
era5_dtr,0.005918186269319496,Climate,1.0287270588780233,onion,1,11
export_veg_usd_mn,0.005896374865932551,Macro,1.0249356978367907,onion,1,12
cold_storage_n_facilities,0.0058592551531413024,Infrastructure,1.0184833742314832,onion,1,13
s2_ndvi_roll4,0.0037747008451290568,Satellite,0.6561363096468585,onion,1,14
s2_ndvi,0.0036743180753433494,Satellite,0.638687303004566,onion,1,15
price_lag_1,0.18283687653486697,Price,35.069595141313975,onion,4,1
price_roll_mean_4,0.06753979238961207,Price,12.95467971189282,onion,4,2
week_num,0.03841704654808715,Price,7.36870096722258,onion,4,3
cold_storage_capacity_mt,0.02072736947407846,Infrastructure,3.975677497759822,onion,4,4
price_lag_2,0.018755656222628626,Price,3.59748691184745,onion,4,5
chirps_rain_mm_roll4,0.012344784691005238,Climate,2.367829780431003,onion,4,6
wpi_potato,0.011718094821115266,Macro,2.2476255829368887,onion,4,7
export_veg_usd_mn,0.01095121584615634,Macro,2.1005319786055616,onion,4,8
wpi_tomato,0.010949793201428148,Macro,2.100259103813599,onion,4,9
era5_dtr,0.008373579085203487,Climate,1.6061203514700162,onion,4,10
chirps_rain_mm_roll8,0.008226978256471621,Climate,1.5780011240556975,onion,4,11
cold_storage_n_facilities,0.007501225265270459,Infrastructure,1.4387958168092203,onion,4,12
wpi_vegetables_total,0.006606663190059285,Macro,1.2672115587481998,onion,4,13
era5_tmean,0.006460430568360562,Climate,1.2391629564278188,onion,4,14
s2_ndvi,0.006040781446973142,Satellite,1.1586708529343617,onion,4,15
cold_storage_capacity_mt,0.11736956466611388,Infrastructure,23.667461583264757,onion,13,1
chirps_rain_mm_roll8,0.05161936671273983,Climate,10.408996421701357,onion,13,2
price_lag_1,0.03874776556657714,Price,7.81345023808443,onion,13,3
wpi_vegetables_total,0.023754297343689543,Macro,4.790031567540915,onion,13,4
chirps_rain_mm_roll4,0.01507184198011028,Climate,3.0392226644790865,onion,13,5
s2_ndvi_roll4,0.014557407179768627,Satellite,2.9354873740840306,onion,13,6
